"Reference","Value","Footprint","Qty","LCSC#","manf#","provedor","DNP","Exclude from BOM","Exclude from Board"
"D1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","150080BS75000","Mouser","","",""
"D2,D3,D4,D5,D6","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","5","","AR2232","UNIT","","",""
"G1","qwiic_Logo","","1","","-","-","","","Excluded from board"
"J1","SWD CONNECTOR","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","-","-","DNP","",""
"J2","QWIIC","SparkFun-Qwiic:JST_SH4","1","","AR2422","UNIT","","",""
"JP1,JP2,JP3","A0","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","3","","","-","DNP","Excluded from BOM",""
"U1","ATtiny1616-M","Package_DFN_QFN:VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm","1","","ATTINY1616-MF","Mouser","","",""
"C1,C2,C3,C4,C5,C6,C7","10uF","Capacitor_SMD:C_0603_1608Metric","7","C1713","","LCSC","","",""
"R2,R3","100R","Resistor_SMD:R_0805_2012Metric","2","C106949","","LCSC","","",""
"R1,R4,R5","10K","Resistor_SMD:R_0805_2012Metric","3","C115295","","LCSC","","",""
